,published_At,updated_At,author_DisplayName,text_Original,text_Display,viewer_Rating,like_Count,author_Channel_Id
0,2023-09-28T17:39:32Z,2023-09-28T17:39:32Z,K9,This looks awesome...,This looks awesome...,none,0,UCeH_DoQiMm2wPxnWO7iLYig
1,2023-09-28T17:39:28Z,2023-09-28T17:39:28Z,Jennifer Myers,The most remarkable thing about this is the absence of Lex’s suit and tie 😅,The most remarkable thing about this is the absence of Lex’s suit and tie 😅,none,0,UC7P8-YqQJXmDD60U949Agow
2,2023-09-28T17:39:07Z,2023-09-28T17:39:07Z,S J,"Unreal man.
Looks to real",Unreal man.<br>Looks to real,none,0,UCObchWgD9hyQACZfL2_6Rag
3,2023-09-28T17:39:03Z,2023-09-28T17:39:03Z,Joseph Marval,Zuck seems like more of a lizard now more than ever!,Zuck seems like more of a lizard now more than ever!,none,0,UCvdYqGZBGGthTgKtQwbCP9g
4,2023-09-28T17:39:00Z,2023-09-28T17:39:00Z,Yve Alecia Smith,"This is fucking incredible, the first few minutes were such a thrill to watch. I've been blown away by some VR experiences I've had recently, enough that I can sort of extrapolate what this experience might be like and I can't wait for it to be more widely available","This is fucking incredible, the first few minutes were such a thrill to watch. I&#39;ve been blown away by some VR experiences I&#39;ve had recently, enough that I can sort of extrapolate what this experience might be like and I can&#39;t wait for it to be more widely available",none,5,UChwBW1GFyqyE1odoWyOwiKg
5,2023-09-28T17:38:52Z,2023-09-28T17:38:52Z,angrynotwhiteman,That's so gay! And I haven't even watched it yet,That&#39;s so gay! And I haven&#39;t even watched it yet,none,0,UCStY4keVu9lsIqzoy2BaRiQ
6,2023-09-28T17:38:44Z,2023-09-28T17:38:44Z,Aqua Subz,Swallow Hard,Swallow Hard,none,0,UCKQzCZqbe7SY0OIZ6yRN20A
7,2023-09-28T17:38:36Z,2023-09-28T17:38:36Z,SnooksV3,Welp.. the porn industry wins again…,Welp.. the porn industry wins again…,none,0,UCVjMlH4Y4JZRv03MSCAshBA
8,2023-09-28T17:38:33Z,2023-09-28T17:38:33Z,Josiah Taschuk,"If the cost of vr headsets continues to go down, and scanning on a phone improves, this will become very common.

Hanging out and watching a movie in a 'living room' setting with people around the world, couch co-op games, etc.","If the cost of vr headsets continues to go down, and scanning on a phone improves, this will become very common.<br><br>Hanging out and watching a movie in a &#39;living room&#39; setting with people around the world, couch co-op games, etc.",none,0,UCKxjBDrNExOSubz8uGS-Y7w
9,2023-09-28T17:38:12Z,2023-09-28T17:38:12Z,J K,Very impressive 👏,Very impressive 👏,none,1,UCUqlj8hUDbVE_9bDMAAg3Ig
